LogL_07M003M	LogT_07M003M	L(sun)_07M003M	T_07M003M
-0.903517593	3.62721319	0.124876986	4238.509784
-0.927316241	3.61984859	0.118218041	4167.240738
-0.927411033	3.61983702	0.118192241	4167.12972
-0.927460807	3.61982772	0.118178696	4167.040486
-0.927495083	3.61982127	0.118169369	4166.978599
-0.927519801	3.61981659	0.118162644	4166.933696
-0.92753816	3.61981303	0.118157649	4166.899539
-0.927550771	3.6198105	0.118154218	4166.875264
-0.927557906	3.61980896	0.118152277	4166.860489
-0.927560268	3.61980827	0.118151634	4166.853868
-0.927559529	3.61980802	0.118151835	4166.85147
-0.92755455	3.6198085	0.11815319	4166.856075
-0.92754648	3.61980943	0.118155385	4166.864998
-0.927533661	3.61981127	0.118158873	4166.882652
-0.927519405	3.61981319	0.118162751	4166.901074
-0.927502197	3.61981563	0.118167433	4166.924485
-0.927482177	3.61981859	0.118172881	4166.952885
-0.927460757	3.61982178	0.118178709	4166.983492
-0.927438964	3.619825	0.11818464	4167.014388
-0.927416644	3.61982834	0.118190714	4167.046435
-0.927394107	3.61983176	0.118196847	4167.07925
-0.927372009	3.61983514	0.118202862	4167.111681
-0.927350037	3.61983855	0.118208842	4167.144401
-0.927328061	3.61984199	0.118214824	4167.177409
-0.927305428	3.61984555	0.118220985	4167.211568
-0.927281112	3.61984941	0.118227604	4167.248606
-0.927254183	3.61985365	0.118234935	4167.289291
-0.927223075	3.61985853	0.118243404	4167.336118
-0.92718632	3.61986427	0.118253412	4167.391197
-0.927142346	3.6198711	0.118265386	4167.456737
-0.92708938	3.61987929	0.11827981	4167.535328
-0.927025398	3.61988918	0.118297237	4167.630234
-0.926948423	3.61990104	0.118318206	4167.744048
-0.926856093	3.61991519	0.118343363	4167.879842
-0.926744559	3.61993243	0.11837376	4168.045296
-0.926611094	3.61995298	0.118410143	4168.242525
-0.926450856	3.61997764	0.11845384	4168.479212
-0.926258451	3.62000725	0.11850633	4168.763426
-0.926027491	3.62004279	0.118569369	4169.104586
-0.925750263	3.62008542	0.118645081	4169.513842
-0.925417493	3.62013654	0.118736025	4170.004657
-0.925017776	3.62019798	0.118845358	4170.594633
-0.924538111	3.62027153	0.118976692	4171.301004
-0.923962129	3.62035973	0.119134589	4172.148232
-0.923270144	3.62046565	0.119324564	4173.1659
-0.922439003	3.62059263	0.119553143	4174.386238
-0.921440457	3.62074494	0.11982834	4175.85048
-0.92024071	3.62092742	0.120159826	4177.60544
-0.918798374	3.62114616	0.120559552	4179.710094
-0.917063448	3.62140853	0.121042128	4182.235942
-0.914976516	3.62172288	0.121625177	4185.264214
-0.912464628	3.62209939	0.122330675	4188.894186
-0.90943944	3.62254999	0.123185775	4193.242607
-0.905793309	3.62308919	0.124224338	4198.451977
-0.90139534	3.62373364	0.125488711	4204.686689
-0.896084372	3.62450346	0.127032729	4212.146425
-0.889215854	3.62556458	0.129057767	4222.450626
-0.88237634	3.62662078	0.13110633	4232.732083
-0.876072739	3.62757638	0.13302316	4242.05583
-0.869978457	3.6284836	0.13490298	4250.92654
-0.863851102	3.62937982	0.136819783	4259.707906
-0.857258577	3.63041281	0.138912531	4269.851883
-0.850758718	3.63142986	0.141007198	4279.862928
-0.8444058	3.63240594	0.14308503	4289.492768
-0.838112785	3.63335543	0.145173456	4298.881066
-0.831870507	3.6342782	0.147275157	4308.024852
-0.825432013	3.63526586	0.149474802	4317.833187
-0.818849622	3.63631007	0.151757575	4328.2274
-0.81242033	3.63731049	0.154020905	4338.20919
-0.806055589	3.63828131	0.156294758	4347.917651
-0.799736092	3.63922614	0.158585658	4357.387066
-0.793486237	3.64014081	0.160884336	4366.573854
-0.786867582	3.64118346	0.163354995	4377.069677
-0.780323903	3.64221296	0.165834963	4387.457878
-0.773886375	3.64320432	0.168311436	4397.484527
-0.767492005	3.6441679	0.170807916	4407.252167
-0.761150694	3.6451022	0.17332025	4416.743718
-0.754887311	3.64600352	0.175837981	4425.919596
-0.74826371	3.64703183	0.178540312	4436.411578
-0.741704374	3.64804856	0.18125735	4446.80986
-0.735250206	3.64902529	0.18397118	4456.822008
-0.728841426	3.64997162	0.186706129	4466.544035
-0.722483219	3.65088718	0.189459672	4475.970134
-0.716197487	3.65176891	0.192221744	4485.066741
-0.709754782	3.65270313	0.195094586	4494.725046
-0.703124014	3.65370804	0.198096128	4505.137391
-0.696634014	3.65466624	0.201078662	4515.088216
-0.690202729	3.65559006	0.204078508	4524.702817
-0.683814242	3.65648241	0.207102699	4534.009335
-0.677487331	3.65734135	0.210141907	4542.985493
-0.671233167	3.65816575	0.213190002	4551.617411
-0.664696948	3.65908867	0.21642282	4561.300346
-0.658122123	3.66003121	0.219724192	4571.210388
-0.651655669	3.66093143	0.223020267	4580.695572
-0.64523813	3.66179819	0.226340291	4589.846801
-0.638867635	3.66263259	0.229684858	4598.673645
-0.632563722	3.66343263	0.233043116	4607.152946
-0.626328877	3.66419869	0.236412874	4615.286759
-0.619925462	3.66502097	0.239924467	4624.033481
-0.613353535	3.66590823	0.243582714	4633.489999
-0.606908879	3.66675076	0.24722428	4642.487681
-0.60051632	3.66755956	0.25089019	4651.141585
-0.594165239	3.66833696	0.254586143	4659.474722
-0.587872645	3.66908138	0.258301754	4667.468332
-0.581643778	3.66979357	0.262033141	4675.12869
-0.575475184	3.67047405	0.265781542	4682.459719
-0.569027705	3.67125324	0.269756734	4690.868301
-0.562551975	3.67204952	0.273809193	4699.476909
-0.556165072	3.67280809	0.277865692	4707.692526
-0.549814961	3.67353562	0.281958401	4715.585461
-0.543502533	3.67423292	0.286086567	4723.162851
-0.537237545	3.67489963	0.290243468	4730.419214
-0.531019419	3.67553645	0.294428998	4737.360668
-0.524840966	3.67614467	0.298647603	4743.999887
-0.51865447	3.67674302	0.302932264	4750.540446
-0.512108189	3.67746973	0.307533061	4758.496235
-0.505674678	3.67815525	0.312122676	4766.013301
-0.499257926	3.67881045	0.316768563	4773.208991
-0.492849693	3.6794374	0.321477296	4780.104599
-0.486461598	3.68003464	0.326240897	4786.682701
-0.480096874	3.68060237	0.331057267	4792.944168
-0.47375342	3.68114136	0.335928291	4798.896241
-0.467437312	3.68165076	0.340849521	4804.528346
-0.461151681	3.68213101	0.345818577	4809.844211
-0.454845576	3.68260736	0.350876615	4815.122718
-0.448293635	3.68317811	0.356210211	4821.454914
-0.441879165	3.68370774	0.361510433	4827.338353
-0.435619554	3.68419702	0.366758718	4832.779939
-0.429577933	3.68464159	0.371896479	4837.729597
-0.423783199	3.6850414	0.376891898	4842.185245
-0.418227646	3.68539879	0.381744118	4846.17162
-0.41287973	3.68571699	0.386473989	4849.723627
-0.407704222	3.68600065	0.39110717	4852.892265
-0.402668183	3.68625276	0.39566881	4855.71021
-0.397745599	3.68647622	0.400179098	4858.209289
