	LogL_21M003M	LogT_21M003M	L(sun)_21M003M	T_21M003M
1.2715847	3.95870621	18.6889413	9092.979459
1.26795357	3.95787618	18.53333475	9075.617419
1.26767496	3.95782126	18.521449	9074.469808
1.26783268	3.95785282	18.52817654	9075.129269
1.26789231	3.95786443	18.53072069	9075.371878
1.26791296	3.95786824	18.53160181	9075.451495
1.26792072	3.95786954	18.53193294	9075.478662
1.26792458	3.9578701	18.53209765	9075.490364
1.26792759	3.95787055	18.5322261	9075.499768
1.26793056	3.95787101	18.53235283	9075.50938
1.2679332	3.95787137	18.53246549	9075.516903
1.26793438	3.95787132	18.53251584	9075.515858
1.26823788	3.95795139	18.54547153	9077.189247
1.26852015	3.95802262	18.55752909	9078.678148
1.26873149	3.95807502	18.56656191	9079.773606
1.26883876	3.95810539	18.57114838	9080.408572
1.26881858	3.95811095	18.57028547	9080.524824
1.26867606	3.95809224	18.56419237	9080.133631
1.26845893	3.95805528	18.55491333	9079.360912
1.26824916	3.95801235	18.54595322	9078.463462
1.26811688	3.95797579	18.54030524	9077.699246
1.26808429	3.95795191	18.53891401	9077.200116
1.26811922	3.95793759	18.54040514	9076.900818
1.26817463	3.95792505	18.54277079	9076.638732
1.26822426	3.9579081	18.54488993	9076.284488
1.26826758	3.95788429	18.54673984	9075.786898
1.26831484	3.95785338	18.54875821	9075.140971
1.26837469	3.95781519	18.55131458	9074.342977
1.26845226	3.95776875	18.55462836	9073.372691
1.26855176	3.95771244	18.55887984	9072.196327
1.26867845	3.95764416	18.56429453	9070.770104
1.26883925	3.95756137	18.57116934	9069.041098
1.2690429	3.95746104	18.5798798	9066.946225
1.26930019	3.95733955	18.59089038	9064.410183
1.26962428	3.9571926	18.60476891	9061.343624
1.27003113	3.95701504	18.62220615	9057.639678
1.27054009	3.95680076	18.64404275	9053.171759
1.27117443	3.95654244	18.67129454	9047.7885
1.27196234	3.95623134	18.70519931	9041.30958
1.27294219	3.95585785	18.7474494	9033.537464
1.27415246	3.9554087	18.79976671	9024.199754
1.27564287	3.95486826	18.8643945	9012.976942
1.27747722	3.95421878	18.94424144	8999.508262
1.27978885	3.95347862	19.04534526	8984.18363
1.28267897	3.95262937	19.17250987	8966.632491
1.28617952	3.95156877	19.32767081	8944.761599
1.29043555	3.95023697	19.51801062	8917.373762
1.2956575	3.94858325	19.75411147	8883.482477
1.3020925	3.94652271	20.04899004	8841.434014
1.30906313	3.94424845	20.37338208	8795.255295
1.31597111	3.94192944	20.70003644	8748.416278
1.32275893	3.93956541	21.0261099	8700.924696
1.32942418	3.93713987	21.35129298	8652.465374
1.3359285	3.93463164	21.67347255	8602.637839
1.34220447	3.93202601	21.9889489	8551.179246
1.34825539	3.92939041	22.29745982	8499.44191
1.35412129	3.92670223	22.60066875	8446.994862
1.35982751	3.92394525	22.89957963	8393.541654
1.36536581	3.92111851	23.19347434	8339.0871
1.37072691	3.9182219	23.48155806	8283.653036
1.37590418	3.91525505	23.76315933	8227.256738
1.38089342	3.91221672	24.03772819	8169.899609
1.38569099	3.90910583	24.30474058	8111.58699
1.39029392	3.90592177	24.56370766	8052.333805
1.39471714	3.90266605	24.81516344	7992.194602
1.39895105	3.89933477	25.05826802	7931.124549
1.40298214	3.89592769	25.29193983	7869.147575
1.40677493	3.89242073	25.51378726	7805.8595
1.41026904	3.88880116	25.71988604	7741.072947
1.41350987	3.88516852	25.91253311	7676.593077
1.41652873	3.88148885	26.09328333	7611.825963
1.41935207	3.87773615	26.26346784	7546.336205
1.42197629	3.87392151	26.42264501	7480.342961
1.42440044	3.87004734	26.57054362	7413.910518
1.42662372	3.86610345	26.70691474	7346.88852
1.42856379	3.86205352	26.82648611	7278.694975
